id,query,expected_retrieval_ids,retrieved_ids,retrieval_hit,retrieval_mrr,plain_keyword_hit,rag_keyword_hit
q01,Which entry is about KPI cards and traffic trends?,analytics-dashboard,analytics-dashboard|project-kanban|settings-billing,True,1.0,,
q02,Which item covers conversion funnels and retention summaries?,analytics-dashboard,analytics-dashboard|settings-billing|project-kanban,True,1.0,,
q03,Where should I look for date-range filters in performance review?,analytics-dashboard,analytics-dashboard|project-kanban|settings-billing,True,1.0,,
q04,Which area usually contains customer names and company fields?,crm-contact-list,crm-contact-list|analytics-dashboard|settings-billing,True,1.0,,
q05,Pipeline stages and follow-up status belong to what type of screen?,crm-contact-list,crm-contact-list|project-kanban|analytics-dashboard,True,1.0,,
q06,What entry mentions owner assignment and bulk actions for sales workflows?,crm-contact-list,crm-contact-list|settings-billing|project-kanban,True,1.0,,
q07,Which entry talks about kanban columns and issue cards?,project-kanban,project-kanban|analytics-dashboard|settings-billing,True,1.0,,
q08,"Assignees, due dates, and priority labels are typical of what area?",project-kanban,project-kanban|crm-contact-list|settings-billing,True,1.0,,
q09,Sprint grouping and workflow transitions point to which screen type?,project-kanban,project-kanban|crm-contact-list|analytics-dashboard,True,1.0,,
q10,Which entry contains subscription plan details and invoice history?,settings-billing,settings-billing|crm-contact-list|analytics-dashboard,True,1.0,,
q11,Payment methods and renewal dates belong to what area?,settings-billing,settings-billing|project-kanban|analytics-dashboard,True,1.0,,
q12,Seat counts and usage limits are usually in which kind of page?,settings-billing,settings-billing|analytics-dashboard|crm-contact-list,True,1.0,,
q13,I need a page for business performance review with KPI cards.,analytics-dashboard,analytics-dashboard|project-kanban|settings-billing,True,1.0,,
q14,Where would a sales rep track contact follow-ups?,crm-contact-list,crm-contact-list|analytics-dashboard|settings-billing,True,1.0,,
q15,Which screen category best fits backlog cards moving across columns?,project-kanban,project-kanban|analytics-dashboard|crm-contact-list,True,1.0,,
q16,What page type would show invoice history for account management?,settings-billing,settings-billing|crm-contact-list|analytics-dashboard,True,1.0,,
q17,Traffic sources and trend charts usually appear in what module?,analytics-dashboard,analytics-dashboard|project-kanban|settings-billing,True,1.0,,
q18,Which entry sounds like customer operations and owner assignment?,crm-contact-list,crm-contact-list|settings-billing|project-kanban,True,1.0,,
q19,Due dates and assignees with sprint grouping indicate what area?,project-kanban,project-kanban|analytics-dashboard|settings-billing,True,1.0,,
q20,Upgrade controls with payment method info belong where?,settings-billing,settings-billing|crm-contact-list|project-kanban,True,1.0,,
q21,I want conversion breakdowns and retention summaries in one place.,analytics-dashboard,analytics-dashboard|project-kanban|settings-billing,True,1.0,,
q22,What screen type has pipeline stage and bulk sales actions?,crm-contact-list,crm-contact-list|analytics-dashboard|settings-billing,True,1.0,,
q23,Where do issue cards move through workflow status transitions?,project-kanban,project-kanban|analytics-dashboard|crm-contact-list,True,1.0,,
q24,"Which area shows subscription details, seats, and renewal date?",settings-billing,settings-billing|analytics-dashboard|crm-contact-list,True,1.0,,
